fa_jahr;gnr;gname;mwb_bj3_bj5;mStf;ordSt;nachSt;persSt;grstSt;handSt;erbSt;motfSt;konz;nve_mit;korr;rp_total;rp_pEinw;ri;MA;fehlRess;hFA_absch;bs_ra_proz;bs_ra_fr;ra
2020;1052;Buchrain;6154.1666667;2;15557007.981;43172.2;81800;735981.18333;204271.8;30714.25;125918.66667;114595.855;0;0;16893461.936;2745.0445935;82.296592409;86.4;842328;0;0;0;842328
2020;1053;Dierikon;1463.5;1.95;4996362.4657;4768.1166667;20528.783333;61922.533333;223656.86667;1763.8333333;32455.666667;47526.83;676569.38;-158600.6;5906953.8757;4036.1830377;121.0049961;86.4;0;367950;0;0;0
2020;1054;Ebikon;13191.666667;1.9;35613599.401;97845.7;190575;973197.23333;1135248.7167;124387;264316;274546.22667;1350095.0467;-297242.6167;39726567.708;3011.4896557;90.284630466;86.4;0;504067;0;0;0
2020;1055;Gisikon;1236.1666667;1.7;4099383.1309;5653.6;17891.666667;55572.633333;237634.6;150.53333333;24350.333333;24592.398333;217547.89333;0;4682776.7892;3788.1435534;113.56875831;86.4;0;256542;0;0;0
2020;1056;Greppen;1047.5;1.9328887364;3081783.8192;12753.55;13858.333333;561170.98333;143844.48333;2184240.4167;28785.333333;24991.816667;0;0;6051428.7358;5777.0202729;173.19539503;86.4;0;586013;0;0;0
2020;1057;Honau;376.33333333;1.7881969904;1222010.0626;0;5538.3333333;37201.25;18611.7;0;9323;9224.125;70099.27;0;1372007.741;3645.7247324;109.29903399;86.4;0;68617;0;0;0
2020;1058;Horw;13845.333333;1.55;54864219.403;362966.95;200566.66667;2767265.3167;1002542.1833;231588.96667;299009.33333;271225.12333;605288.25667;0;60604672.199;4377.2634967;131.23060759;86.4;0;4316538;0;0;0
2020;1059;Kriens;27089.666667;2;70333316.772;171936.38333;389850;3287631.35;1855115.6667;706415.16667;565011.66667;582771.56;1677461.43;0;79569509.995;2937.2642703;88.059349209;86.4;0;442161;0;0;0
2020;1061;Luzern;81372;1.85;301960705.37;1675051.3833;1253520;10559508.567;5515781.5167;8806067.3067;1616350.3333;3065380.8;29972447.543;0;364424812.82;4478.5038197;134.2657982;86.4;0;14202458;0.77;2083695;2083695
2020;1062;Malters;7057.6666667;2.05;15682656.064;27499.316667;101641.66667;533180.26667;439799.06667;54743.366667;181922;162983.275;846456.90667;0;18030881.929;2554.7936422;76.592858112;86.4;2308719;0;0;0;2308719
2020;1063;Meggen;6937.1666667;0.963293236;61297771.776;775795.55;104668.33333;3160767.8833;1554720.6333;738569.03333;154494.66667;164187.53833;0;0;67950975.415;9795.2058354;293.66082581;86.4;0;8813058;0;0;0
2020;1064;Meierskappel;1361;2.1804990922;3861494.3768;13914.566667;17716.666667;625419.23333;124643.8;1658.5666667;41650.333333;36228.406667;165745.68;0;4888471.6301;3591.8233873;107.68306861;86.4;0;235172;0;0;0
2020;1065;Root;4779.1666667;1.8952554429;14031790.148;21664.916667;63241.666667;739936.8;599991.76667;96405.45;105048.66667;478407.51167;2592060.24;0;18728547.166;3918.7892937;117.48552501;86.4;0;1102299;0;0;0
2020;1066;Schwarzenberg;1703.6666667;2.2;3333631.1284;10632.366667;23891.666667;127295.98333;84033.166667;12428.7;99099;46875.7;8792.4966667;0;3746680.2084;2199.1861916;65.931726599;86.4;1163144;0;0;0;1163144
2020;1067;Udligenswil;2277.8333333;1.95;7201461.3476;42002.816667;30550;220614.2;125323.75;13921.266667;53749;44326.426667;0;0;7731948.8076;3394.4313196;101.76524324;86.4;0;314039;0;0;0
2020;1068;Vitznau;1328.3333333;1.4628106894;7063286.4718;12448.216667;18750;593317.25;258071.7;146235.7;44739;62871.183333;0;0;8199719.5218;6172.9381594;185.06503569;86.4;0;836176;0;0;0
2020;1069;Weggis;4363.5;1.55;22418806.637;309442.48333;62708.333333;1314886.8667;725982.88333;583855.05;125785;157206.625;14284.366667;0;25712958.246;5892.7370793;176.66459144;86.4;0;2530456;0;0;0
2020;1081;Beromünster;6439.3333333;1.95;13946132.369;54788.016667;86760;426256.15;346288.21667;64959.55;192983.33333;164976.965;328685.03333;0;15611829.634;2424.4481262;72.685092158;86.4;2945787;0;2.1;451997;3397784
